date,n_stocks,ic
2024-04-30,174,0.0756
2024-05-31,174,-0.0322
2024-06-28,175,-0.3863
2024-07-31,175,0.083
2024-08-30,175,0.1447
2024-09-30,176,0.0902
2024-10-31,176,0.2567
2024-11-29,176,0.0526
2024-12-31,176,0.0156
2025-01-31,176,-0.0373
2025-02-28,176,-0.036
2025-03-31,178,-0.0414
2025-04-30,178,0.0288
2025-05-30,178,0.0064
2025-06-30,179,0.1927
2025-07-31,179,-0.138
2025-08-29,179,0.2095
2025-09-30,179,0.3971
2025-10-31,179,0.0411
2025-11-28,179,0.0506
2025-12-31,179,0.3366
2026-01-30,179,0.4625
2026-02-27,180,-0.012
2026-03-31,180,0.238
2026-04-30,180,0.0923
