date,nav,spy,open_n,closed_n
2024-04-30,100000.0,490.05,10,0
2024-05-31,107356.14,514.84,9,1
2024-06-28,98951.09,533.0,9,6
2024-07-31,103164.45,539.46,9,10
2024-08-30,120697.67,552.06,9,10
2024-09-30,126068.51,563.66,9,11
2024-10-31,122648.81,558.63,8,12
2024-11-29,120744.83,591.94,9,16
2024-12-31,155227.71,577.7,9,20
2025-01-31,136971.22,593.21,9,25
2025-02-28,120121.59,585.68,8,31
2025-03-31,107737.78,553.05,8,37
2025-04-30,109793.86,548.26,8,38
2025-05-30,121166.24,582.71,8,38
2025-06-30,139830.54,612.65,7,39
2025-07-31,155817.79,626.76,7,39
2025-08-29,158897.13,639.62,7,39
2025-09-30,202953.19,662.41,7,41
2025-10-31,283236.49,678.2,7,43
2025-11-28,195954.41,679.52,7,45
2025-12-31,198106.01,680.06,7,48
2026-01-30,224242.63,690.09,7,49
2026-02-27,198959.59,684.12,7,51
2026-03-31,193965.03,650.34,7,51
2026-04-30,218825.84,718.66,7,52
2026-05-08,227892.12,737.62,7,52
